                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0046,                 3.3176,                 1.8071,                0.14822,                0.11111,                0.11247,                0.06207,                 1.6364,                 2.9999,                 1.6255,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.9775,                  3.288,                 1.7356,                0.30578,                0.26667,                0.32403,                0.22032,                 1.5479,                 2.3757,                 1.5776,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      3,                  1.828,                 2.3658,                 1.6412,                0.91228,                0.36667,                0.48063,                0.33409,                 1.3956,                 2.0083,                 1.5344,              0.0001228,              0.0001228,              0.0001228
                      4,                 1.6255,                 1.6549,                 1.5378,                0.50948,                0.62411,                0.52924,                0.39587,                 1.3057,                 7.3332,                 1.4763,             0.00016159,             0.00016159,             0.00016159
                      5,                 1.6076,                 1.3727,                 1.4835,                0.55519,                0.56953,                0.58242,                0.41148,                 1.2491,                 1.6172,                  1.334,             0.00019641,             0.00019641,             0.00019641
                      6,                 1.5358,                 1.2194,                 1.3938,                0.67576,                0.63907,                0.67094,                0.44169,                 1.2692,                 1.5481,                 1.3829,             0.00022728,             0.00022728,             0.00022728
                      7,                 1.4739,                  1.156,                  1.338,                  0.631,                 0.6491,                0.65434,                0.41231,                 1.3782,                  2.194,                 1.4192,             0.00025418,             0.00025418,             0.00025418
                      8,                 1.4247,                 1.0729,                 1.3404,                0.59636,                 0.7328,                0.63795,                0.38272,                 1.5051,                 1.7293,                 1.4666,             0.00027713,             0.00027713,             0.00027713
                      9,                 1.4846,                 1.1082,                 1.3319,                0.65751,                 0.5543,                0.61543,                0.38778,                 1.5334,                 1.4189,                 1.4106,             0.00029611,             0.00029611,             0.00029611
                     10,                 1.3902,                0.99301,                 1.2773,                0.63293,                0.62573,                0.66442,                0.44735,                 1.3637,                 1.3673,                 1.3223,             0.00031114,             0.00031114,             0.00031114
                     11,                 1.3872,                 1.0064,                 1.3234,                0.76302,                0.67795,                0.74132,                0.50852,                 1.2382,                 1.3201,                 1.2623,              0.0003222,              0.0003222,              0.0003222
                     12,                 1.3131,                0.97236,                 1.2572,                0.72381,                0.73545,                0.74139,                0.50862,                 1.2665,                  1.353,                 1.2672,              0.0003293,              0.0003293,              0.0003293
                     13,                 1.3573,                0.96668,                 1.2774,                0.69081,                0.66828,                0.67666,                0.45633,                 1.3249,                 1.8349,                 1.2451,             0.00033244,             0.00033244,             0.00033244
                     14,                 1.3643,                0.91143,                 1.2315,                0.67254,                0.69829,                0.67925,                0.47258,                 1.2562,                 1.7964,                 1.2096,             0.00033162,             0.00033162,             0.00033162
                     15,                  1.338,                0.91526,                 1.2685,                0.77805,                0.71858,                0.77633,                0.53633,                 1.2094,                 1.1661,                 1.1878,             0.00032684,             0.00032684,             0.00032684
                     16,                 1.3407,                0.88446,                 1.2695,                0.81912,                0.77865,                0.80686,                0.53805,                 1.2468,                 1.1029,                 1.2025,              0.0003181,              0.0003181,              0.0003181
                     17,                 1.3728,                0.87748,                 1.2901,                0.82653,                0.75831,                 0.7936,                0.49455,                 1.3925,                 1.1443,                 1.2972,             0.00030539,             0.00030539,             0.00030539
                     18,                 1.3054,                0.84848,                 1.2924,                0.81643,                0.77044,                0.82389,                0.52574,                 1.3236,                 1.0949,                 1.2548,             0.00028873,             0.00028873,             0.00028873
                     19,                 1.2886,                0.81696,                 1.2782,                0.84159,                0.81344,                 0.8598,                0.58091,                  1.209,                 1.0316,                 1.1964,             0.00026811,             0.00026811,             0.00026811
                     20,                 1.3173,                0.84029,                 1.2768,                0.86905,                0.80233,                0.89631,                0.61459,                 1.1635,                0.93351,                 1.1901,             0.00024352,             0.00024352,             0.00024352
                     21,                 1.3026,                0.80079,                 1.2335,                0.86673,                0.80657,                0.90749,                0.62534,                 1.1459,                0.88843,                 1.1982,             0.00021498,             0.00021498,             0.00021498
                     22,                 1.2401,                0.78961,                 1.2069,                0.87077,                0.82104,                0.91328,                0.63283,                  1.143,                0.85344,                  1.201,             0.00018247,             0.00018247,             0.00018247
                     23,                 1.2655,                0.76379,                 1.2416,                0.85368,                0.81656,                0.92111,                0.64107,                 1.1334,                0.83613,                 1.1857,               0.000146,               0.000146,               0.000146
                     24,                 1.2889,                0.77277,                 1.2636,                0.78485,                0.86183,                0.90757,                0.63156,                 1.1251,                0.83328,                 1.1681,             0.00010557,             0.00010557,             0.00010557
                     25,                  1.196,                0.73798,                 1.1886,                0.79521,                0.85352,                0.91758,                0.63743,                 1.1119,                0.83017,                 1.1547,             6.1186e-05,             6.1186e-05,             6.1186e-05
